date,open,high,low,close,volume
2026-02-02,114.54,119.295,114.39,119.16,8019704.0
2026-02-03,119.98,121.2,116.2,117.15,8764644.0
2026-02-04,118.155,123.043,116.82,122.04,10914510.0
2026-02-05,120.25,122.72,113.0501,115.39,9298445.0
2026-02-06,116.9,122.565,116.5,121.05,7918021.0
2026-02-09,120.3,122.0,117.8596,120.91,5016813.0
2026-02-10,122.545,126.63,122.45,126.01,6194076.0
2026-02-11,127.69,128.06,122.29,124.16,5431215.0
2026-02-12,117.5,120.92,111.2,112.82,11756645.0
2026-02-13,115.47,120.83,114.215,117.49,10480404.0
2026-02-17,116.25,119.05,114.97,116.09,5303651.0
2026-02-18,114.85,117.455,112.86,116.78,5783427.0
2026-02-19,118.96,121.44,117.61,119.06,7042264.0
2026-02-20,117.76,122.66,117.6,122.27,7763458.0
2026-02-23,121.26,124.3199,118.87,119.14,6962259.230146
2026-02-24,120.5,122.64,119.0,119.78,4937680.983454
2026-02-25,118.12,124.95,117.2,123.48,8220005.401213
2026-02-26,125.1,126.0,120.31,121.45,14418103.633049
2026-02-27,137.37,148.86,136.11,148.08,33475578.829394
2026-03-02,146.755,153.72,146.0003,153.55,12554157.470228
2026-03-03,149.73,150.94,141.02,145.18,15258237.255491
2026-03-04,145.995,148.33,144.05,147.1,8505495.118003
2026-03-05,146.0,149.16,142.052,146.52,7032450.798427
2026-03-06,143.83,148.66,142.12,146.48,7100433.694014
2026-03-09,144.6,146.7,141.36,146.51,7400609.864511
2026-03-10,146.285,146.89,137.495,143.8,7518682.528401
2026-03-11,145.66,149.4699,145.15,147.37,5405664.741945
2026-03-12,147.15,151.85,147.085,149.91,7340868.644814
2026-03-13,151.0,152.95,146.82,151.62,6441089.864964
2026-03-16,153.05,157.8,152.68,156.54,7923360.007603
2026-03-17,154.75,155.02,151.8,153.01,6675798.619755
2026-03-18,152.71,155.02,148.93,149.21,5460722.755265
2026-03-19,146.585,157.07,146.57,156.76,7715340.220962
2026-03-20,163.5,169.9,157.67,157.67,23135869.610938
2026-03-23,159.24,165.42,158.63,164.59,10721325.590755
2026-03-24,163.62,178.31,163.37,176.91,15886495.226705
2026-03-25,177.76,184.86,177.62,184.01,11330772.373256
2026-03-26,182.71,186.39,175.55,175.82,11061283.280909
2026-03-27,175.13,176.29,170.345,171.81,8011470.5879
2026-03-30,172.77,174.0,162.48,164.66,10135271.18973
2026-03-31,164.29,167.99,155.37,164.13,13713718.395082
2026-04-01,166.98,171.33,164.76,169.38,7311128.017697
2026-04-02,166.99,174.37,166.495,174.37,5217126.489158
